Tweets,"Emotion (+,-,O)","Place in Sentence (B, E, M, R, A)",,,,,,
"Mysteries to solve, secrets to expose and it's up to you and someone new to uncover them 😏Join #SwipeNight and start making connections today. 

apple.co/3bF0EOQ  

DISCLAIMER Swipe Night is an 18+ experience and contains depictions of violence https//t.co/Naf0qcD9WP",+,M,,,,,,@Dreams_on_Paper not this 😭
"#SwipeNight is back on 11/7 and this time, everyone has a secret 🕵️Join the experience where every choice can lead you to someone new.  

apple.co/3bF0EOQ

DISCLAIMER Contains violence and alcohol. Must be 18+. Only on Tinder. https//t.co/6uU1pOp2Na",O,M,,,,,,
Enjoy your dates without having to drive 🥰 be safe and have fun! twitter.com/lyft/status/14…,+,M,,,,,,
"are we sure Red isn't just an introvert cause i can relate 🥺 @TheMilesMcKenna 💙💜💗

youtu.be/MkBr2nVEnVc https//t.co/R4qWEqTq9O",+,M and E,,,,,,
"this audio has so much potential 💙💜💗 watch @annaakana's new video now on YouTube 😉

youtu.be/BQGAmsayX0E https//t.co/ziC7M0b0S0",+,M and E,,,,,,
@delia_cai all you had to do was ask queen 🥺👉👈,n/a,E,,,,,,
Sending SO MUCH love and support to my Tinder match starting a conversation after I said “hey” 3 days ago with no response. You got this. ❤️ ⚡ twitter.com/oliviamunn/sta…,-,E,,,,,,
@andrea_cara 👀,n/a,A,,,,,,
"and that's a wrap 🎬 the final episode of #90069 is now live on our youtube channel! shout out to all the creators who took part in this project 👏 now, let's find out what happens between the infamous love triangle of austin, luna, and dez 👀 

youtu.be/D4AicQ3S5hY https//t.co/yMImdp8sdk",O,M,,,,,,
but did you send them messages tho 👀🔥 twitter.com/gofinurself/st…,O,E,,,,,,
@vinaverdemusic @myputhgospelm @charlieputh I have competition on Instagram I’m coming 😤😤😤,O,E,,,,,,
"a new face joins the cast of #90069! how will Luna’s date get along with her friends? find out what happens, only on our YouTube channel 🔥 youtu.be/4IwGfzDmDaw https//t.co/GbMU7cYkm2",O,E,,,,,,
@Skittles ....are you asking me out?? 👉👈,O,E,,,,,,
@BlackKrystel @ChaseClaypool Suddenly I’m in the mood for karaage 🍗 thanks for spending the day with us 😍,+,M and E,,,,,,
its not everyday you see an nfl player 🏈 and a dancer 💃 team up for a tiktok video… 🔥 @ChaseClaypool @sjbleauofficial 👀 youtu.be/19tkcwGN_pY,O,R and E,,,,,,
it's a match! 🔥🔥 twitter.com/wsjCMO/status/…,O,E,,,,,,
@Bomanizer come to brazil bestie 🥺,+,E,,,,,,
@CFernekes @Emeril @notfrenchfryguy DM us your details and we’ll be in touch 👀👀👀,O,E,,,,,,
"Look ma, we made it! @jeopardy 😁 https//t.co/1dnjxVDJ2u",+,E,,,,,,
Give👏 me👏 my👏 hot👏 bern👏 summer👏 twitter.com/taragolshan/st…,O,M,,,,,,
@JunDishes So happy for you queen 🥰💕,+,E,,,,,,
"@theestallionhq @theestallion yes hotties, get your coin 🔥",+,E,,,,,,
"@JunDishes a shout out from the big brother legend herself! Congratulations, we wish you all the happiness 🥰💖",+,E,,,,,,
@MAXMusic we see nothing but strawberry skies with you king ❤️💙🥰,+,E,,,,,,
@CaucasianJames imagine our joint slay... jkjkjk............. unless? 👁️👄👁️,O,E,,,,,,
"Catch me having a seance for my next Tinder date 🙈🙈
￼
                
                  🕯️
        🕯️                🕯️
   🕯️                           🕯️

🕯️             🔥               🕯️

   🕯️                           🕯️
         🕯️               🕯️
                  🕯️ twitter.com/NylonMag/statu…",O,E,,,,,,
@goodbeanaltalt it looks good bestie 🙈,+,E,,,,,,
@alexandravbotez nothing but respect for our ~queen~ 👑👑👑,+,E,,,,,,
"@Youngm4n @xashleerae y’all are too cute, congrats 💜",+,E,,,,,,
